Author Name,University
Vivek Kumar Sehgal,"Jaypee University of Information Technology, Solan"
Mark Burge,National Science Foundation
Lupu Ciprian,University Politehnica of Bucharest
Eren Aykin,University of York
Emilia Corina Corbu,University of Petrosani
Rachel F. Adler,University of Illinois Urbana-Champaign
Bogart Yail Marquez,Tijuana Institute of Technology
Bernd  Froehlich,Bauhaus University Weimar
Alexander Kulik,Bauhaus University Weimar
Saul Greenberg,University of Calgary
Ehud Sharlin,University of Calgary
Allison M. Jacobs,George Mason University
P. Schreck,University of Strasbourg
Julien Narboux,University of Strasbourg
Dongqiang Yang,Flinders University
P Spirakis,University of Liverpool
Spyros Kontogiannis,University of Patras
Leonard Jay Shustek,Computer History Museum
Gwenaël J. Doërr,Technicolor Inc.
G. Michael Youngblood,The University of North Carolina at Charlotte
Panagiotis Antonellis,University of Patras
Lilit Yenokyan,University of Michigan-Dearborn
Gaurav Tuli,Biocomplexity Institute of Virginia Tech
Shahid Hussain,Bahria University
D. R. Hanson,Microsoft Research
Daniel Calife,University of São Paulo
Matteo Pradella,Politecnico di Milano
Petcharat Pattanasethanon,King Mongkut's Institute of Technology Ladkrabang
Barranco Gutiérrez Alejandro Israel,National Polytechnic Institute
Babak Mohammadian,"Islamic Azad University, Qazvin Branch"
Alexander Paar,University of Pretoria
Ashraf Saad Hussein,Arab Open University Kuwait
Lila Kari,David R. Cheriton School of Computer Science
Patrick Reignier,Grenoble Polytechnic Institute
Frank Werner,Otto von Guericke University Magdeburg
H. M. Amman,University of Amsterdam
Jonathan W. Greene,"University of California, Berkeley"
Peter Müller,"Swiss Federal Institute of Technology, Zurich"
Jacques Terken,Eindhoven University of Technology
George V. Landon,Eastern Kentucky University
Pascal  Mueller,"Swiss Federal Institute of Technology, Zurich"
Md. Shad Jamal,Pondicherry University
Faria  Nassiri-Mofakham,Center for Mathematics and Computer Science - Amsterdam
M. Mancini,Sapienza University of Rome
Carlo Chiorri,University of Genoa
Rob V van Nieuwpoort,Leiden University
Mark Sh. Levin,Institute for Information Transmission Problems of the Russian Academy of Sciences
Morten Hertzum,Roskilde University
Joonsoo Bae,Jeonbuk National University
Mark Jago,Macquarie University
Romain Cavagna,Paris Computer Science Laboratory 6
Toshinori Munakata,Cleveland State University
Mostafa Keikha,University of Massachusetts Amherst
Asaf Varol,Firat University
R M Keller,Stanford University
Luis Malagón-Borja,"National Institute of Astrophysics, Optics and Electronics"
Alexandre Alapetite,Technical University of Denmark
Marta Tatu,The University of Texas at Dallas
Mark Cieliebak,"Swiss Federal Institute of Technology, Zurich"
Alireza Rezvanian,"University of Science and Culture, Tehran"
Masahiro Terabe,Tohoku University
Robert Mccartney,University of Connecticut
Parag Kulkarni,Toshiba Corporation
Abhay Bansal,
Ton Roosendaal,
Pankaj Mehra,Samsung Electronics Co. Ltd.
Ong Sing Goh,Murdoch University
Gianluca Correndo,University of Southampton
Shun Hattori,Kyoto University
Jie Bao,Rensselaer Polytechnic Institute
Mark Chavez,Nanyang Technological University
Fabian Abel,Delft University of Technology
Mozhgan Tavakolifard,Norwegian University of Science and Technology
Umberto Panniello,Polytechnic University of Bari
Danish Ullah Khan,University of Colorado Boulder
Brian Milch,Google LLC
Jennifer Hyde,Carnegie Mellon University
Daryl D'Souza,RMIT University
Yong Liu,Microsoft Corporation
L. Nigay,Grenoble Alpes University
Céline Coutrix,Grenoble Computer Science Laboratory
Shinpei Hayashi,Tokyo Institute of Technology
Robert B. Allen,Drexel University
Yoshiharu Ishikawa,Nagoya University
Hasan Timucin Ozdemir,Syracuse University
Dennis Mølholm Hansen,Aalborg University
Odej Kao,Technical University of Berlin
Ion  Petre,University of Turku
Roland Ewald,University of Rostock
Nitin Bhatia,"D.A.V. College, Kanpur"
Muhammad Farooq,"Laboratory of Electronics, Antennas and Telecommunications"
Michael Holroyd,University of Virginia
Tongtong Xue,
Yang Hang,Chongqing University of Technology
Lynn D. Wilcox,FX Palo Alto Laboratory
Manish Godse,Shailesh J. Mehta School of Management
Chris,
Forrest Sheng Bao,
Géry Casiez,University of Lille
John Aycock,University of Calgary
Mario Romero,KTH Royal Institute of Technology
Insu Yu,University College London
JaeYoung  Pyun,Chosun University
E. V. Bauman,"V. A. Trapeznikov Institute of Control Sciences, Russian Academy of Sciences"
Mohsen  Davarynejad,Delft University of Technology
Rodger Lea,Lancaster University
L. J. Schulman,California Institute of Technology
Ian Turton,Pennsylvania State University
Francisco Gallego,University of Alicante
K. Ayari,Polytechnique Montral
R. Galvao,University of East Anglia
Renata Pontin De Mattos Fortes,University of São Paulo
Miroslaw Majchrzak,Polish Academy of Sciences
Ryan O'Donnell,Carnegie Mellon University
P. J. Resnick,"University of Michigan, Ann Arbor"
Sushil Bajracharya,Donald Bren School of Information & Computer Sciences
Julio Abascal,University of the Basque Country
P. Stamatopoulos,National and Kapodistrian University of Athens
Álvaro  Marco,University of Zaragoza
Christophe Jouffrais,Image and Pervasive Access Laboratory
Jorge C. S. Cardoso,Huawei Technologies Deutschland GmbH
Patrizio Frosini,University of Bologna
Marco Pellegrini,Italian National Research Council
Sally McKee,Clemson University
Erik Wilde,CA Technologies
Haibin Sun,Shandong University of Science and Technology
Hwai-Jung Hsu,Feng Chia University
Yahya Chetouani,University of Rouen Normandy
Zeliha Görmez,The Scientific and Technological Research Council of Turkey
Amadeo J. Argüelles-Cruz,National Polytechnic Institute
Arthur Herzog,Fraunhofer Society
Daniel Lee Ashbrook,University of Copenhagen
Reinhard Pichler,Vienna University of Technology
Yelda  Özel,Marmara University
Luca Brayda,Italian Institute of Technology
Masashi Inoue,Research Organization of Information and Systems National Institute of Informatics
Lars C. Wolf,Technical University of Braunschweig
Masayuki Okamoto,Toshiba Corporation
Jehn Ruey Jiang,National Central University
Manuel Noguera,University of Granada
Stefan Wildermann,University of Erlangen-Nuremberg
Elena Durán-López,National University of Santiago del Estero
Nils Brede Moe,SINTEF Foundation for Scientific and Industrial Research
Nikos Gorogiannis,"Facebook, Inc."
Jovan David Rebolledo-Mendez,Kanazawa University
C. Pramodh,Institute for Development and Research in Banking Technology India
Yan Tang,Vrije Universiteit Brussel
Vanessa Julia Carpenter,Aalborg University
Ming Zhao,Florida International University
Gyun Woo,Pusan National University
Ching-Hao Lai,
Jiong J Yang,Case Western Reserve University
Lyublena Antova,"Datometry, Inc."
Nancy Mehta,
Sebastian De La Chica,Microsoft Corporation
Mohammad Shirali-Shahreza,Sharif University of Technology
Gordon Cameron,"Epic Games, Inc."
G. Guidi,Politecnico di Milano
Sylvain Le Groux,Pompeu Fabra University Barcelona
Masahiro Furukawa,Osaka University
Carlos Guedes,NYU Abu Dhabi
Jonathan D. Chertok,
Brice  Criswell,Industrial Light & Magic
Takahiro  Harada,"Advanced Micro Devices, Inc."
Mohammad Ali Abbasi,
Tshering,
Dave Shreiner,Sonoma State University
Leonard Brown,The University of Arizona
Paulo Carreira,Higher Technical Institute
Mark F. Russo,The College of New Jersey
Huy Hoang  Tran,University of Vienna
Isao Nakanishi,Tottori University
Olivier Henri Roux,Nantes Central School
M. V. Rama Rao,Vasavi College of Engineering
Amaresh Kumar Pandey,"Indian Institute of Information Technology, Allahabad"
Ghanbari Shamsollah,Islamic Azad University
Hua-Jun ZENG,Microsoft Research Asia
Franjo Email Ivančić,Google LLC
Surendra Gupta,
Tiago de Oliveira Januario,
Duc N. Nguyen,Drexel University
David D. McDonald,BBN Technologies
Robert D. Vincent,McGill University
Mehrdad Nojoumian,Florida Atlantic University
Douglas B. Kell,The University of Manchester
Ramjee Yerneni,University of Memphis
Krishna K. Banka,Indian Institute of Technology Kharagpur
Jérémie Allard,INRIA Institut National de Recherche en Informatique et en Automatique
Patrick Coleman,Pixar Animation Studios
Ignacio  García-Fernández,University of Valencia
Andrew W. Moore,University of Cambridge
Thomas  Lengauer,Max Planck Institute for Informatics
Hisham El-Shishiny,"IBM, Egypt"
Achille Peternier,University of Applied Sciences and Arts of Southern Switzerland
Alejandro Peña,Osaka University
Soo Young Rieh,The University of Texas at Austin
Erick Siu Kwong Yu,University of Toronto
Martin Falk,Linköping University
Berkant Barla Cambazoğlu,RMIT University
Alolita Sharma,
J. B. Nigel Jonney,University of Malaysia Sabah
K. S. Patnaik,"Birla Institute of Technology, Mesra"
Víctor M. González,Autonomous Technological Institute of Mexico
Edgar Velázquez-Armendáriz,Cornell University
M. Brian Blake,Drexel University
Gabriele Capannini,Mälardalen University
Ahmed El Zein,The Australian National University
Joana Paulo Pardal,Institute of Systems and Computer Engineering Research and Development in Lisbon
Boris  Koldehofe,Technical University of Ilmenau
Tamer Mohamed Elsayed,King Abdullah University of Science and Technology
Sheelagh  Carpendale,Simon Fraser University
Leonardo QuerzonI,Sapienza University of Rome
K. J. O'Hara,Bard College
Dominik Engel,Salzburg University of Applied Sciences
Marco P. Tucci,University of Siena
Valéria  de Paiva,University of Birmingham
Tracy Holloway King,Adobe Inc.
Iuliu Vasilescu,MIT Computer Science & Artificial Intelligence Laboratory
Bin Shao,Microsoft Research Asia
Judith Olson,"University of California, Irvine"
CLIFTON FORLINES,University of Toronto
Dr. Tariq Javid Ali Mughal,National University of Sciences and Technology
Saeed Ebrahimijam,"Islamic Azad University, Qazvin Branch"
Sepehr Moein,"Islamic Azad University, Qazvin Branch"
Y. Khamlichi,University Ibn Zohr
Hamed Rasam Fard,"Islamic Azad University, Qazvin Branch"
Mahdi Yousefi Azar Khanian,"Islamic Azad University, Qazvin Branch"
Wenfei Fan,The University of Edinburgh
Ricardo Gacitua,University of La Frontera
Sarina Sulaiman,University Technology Malaysia
Moutaz  Saleh,National University of Malaysia
David DeAngelis,The University of Texas at Austin
Fred Douglis,Peraton Corp.
Marcus Thiebaux,University of Southern California
Almer S. Tigelaar,University of Twente
Brian  Buck,"RiverGlass, Inc."
Manuel N. Gamito,The University of Sheffield
Bryan Copeland,
G. K. Adam,Technological Educational Institute of Thessaly
Milton Martinez Luaces,Technical University of Madrid
Aida Causevic (formerly Delic),University of Sarajevo
Tim Berners-lee,Massachusetts Institute of Technology
Filip Sadlo,Heidelberg University
S Sahni,University of Florida
Jason P. Weber,DreamWorks Animation
Christopher League,Long Island University
E Wes Bethel,Lawrence Berkeley National Laboratory
Feng Cao,IBM Research
Haikal El Abed,Technical University of Braunschweig
Roman Durikovic,Comenius University in Bratislava
Jens Teubner,Technical University Dortmund
Torsten Grust,University of Tübingen
Azzam Issam Moustapha,Louisiana Tech University
Sunil Shukla,IBM Research
Timothy Arndt,Cleveland State University
Th P van der Weide,Radboud University
Marcelo M. Carvalho,University of Brasilia
James  Geller,New Jersey Institute of Technology
Vasco Brattka,Bundeswehr University Munich
Jonathan Lester,University of Washington
Ba-Quy Vuong,University of Wisconsin-Madison
Georgios P. Kaperonis,University of Patras
M. Kraus,Aalborg University
Youngjae Kim,Sogang University
M. Valero,Barcelona Supercomputing Center
Eunseok Lee,Sungkyunkwan University
Miquel Moretó,Barcelona Supercomputing Center
Poh Kit Chong,Korea Advanced Institute of Science and Technology
Mazeiar Salehie,University of Limerick
G. Câmara,National Institute for Space Research
Siavash Mirarab,"University of California, San Diego"
Yuichi Goto,Saitama University
J. Cheng,Saitama University
Irfan Ahmed,Queensland University of Technology
Alexander Serebrenik,Eindhoven University of Technology
Sen Wang,Stony Brook University
Seth Copen Goldstein,Carnegie Mellon University
Jos van Hillegersberg,University of Twente
Myungjoo  Ham,Samsung Electronics Co. Ltd.
Ming-Te Chi,National Chengchi University
Mihai Lupu,Vienna University of Technology
Miika Valtonen,Tampere University
Peyman Akhlaghi,Sahand University of Technology
Andreas Schrader,University of Lübeck
Stefan G. Weber,Gottfried Wilhelm Leibniz University Hannover
Mickael Camus,Paris Computer Science Laboratory 6
Suhail AlDhafri,American University of Sharjah
Herman Isa,National Energy University
Mike Fraser,University of Bristol
Moawia Elfaki Yahia Eldow,King Faisal University
Diego R Llanos,University of Valladolid
Debora Donato,Yahoo Inc.
Hussnain Ali,National University of Sciences and Technology
James H. Money,North Carolina Central University
Jack M. Wang,Stanford University
Robert Wing Pong Luk,The Hong Kong Polytechnic University
Yu-Ming Fei,Zhejiang Gongshang University
Sergio Cabello,University of Ljubljana
Shay Mozes,Reichman University
P  Deepak,IBM Research
Carlos Delgado-Mata,Universidad Panamericana
Jernej  Barbič,University of Southern California
Jan Carlson,Mälardalen University
Mark H. Liffiton,Illinois Wesleyan University
Karem A. Sakallah,"University of Michigan, Ann Arbor"
R H Perrott,Queen's University Belfast
Sabin C. Buraga,Alexandru Ioan Cuza University
Amandeep S. Sidhu,School of Computer Science and Engineering
Jianhong (Jackie) Shen,
Christina Chavez,Federal University of Bahia
S. M.  M. Tahaghoghi,RMIT University
Mahesh B. Parappagoudar,Indian Institute of Technology Kharagpur
L. Sivridis,Swansea University
Ling Chen,Zhejiang University
Abdelwadood Mesleh,Al-Balqa Applied University
Paulo Carvalho,University of Minho
,University of Galway
Ayad R. Abbas,Wuhan University
R. Rajesh,Bharathiar University
Sharan  Badiger,BLDE (Deemed to be University)
Patrick Christian Janvier,
G. R. S. Murthy,
Srichand Pendyala,
F. G. Meyer,University of Colorado Boulder
Charles Lefurgy,International Business Machines
Dan Corbett,Research in Motion Limited
Ron Shamir,Tel Aviv University
F. Damiani,University of Turin
Marcus A. Maloof,Georgetown University
Shai Fine,IBM Research - Haifa
Lauri Karttunen,Stanford University
Francesco Scarcello,University of Calabria
Amit  Agarwal,Intel Corporation
Bernardo D'Auria,University of Salerno
Eduardo Huedo,Complutense University of Madrid
Ben Matthews,The University of Queensland
Sören Grimm,Vienna University of Technology
Joshua Schiffman,"HP Labs, Bristol"
K. N. Manjunath,Manipal Institute of Technology
C. Orlandi,Aarhus University
Teresa Marrin Nakra,The College of New Jersey
Mohammad Alrifai,L3S Research Center
Karina Rodriguez Echavarria,University of Brighton
Denis Pitzalis,Centre de Recherche et de Restauration des Musées de France CNRS UMR 171
Abderazek Ben Abdallah,The University of Aizu
Coen  de Roover,Vrije Universiteit Brussel
Marco Loregian,University of Milano-Bicocca
Iris de marcelhas e Souza,
Kristopher J. Blom,University of Hamburg
Greg Michaelson,Heriot-Watt University
Juan David Cruz,University of Bern
Yuchul Jung,Korea Institute of Science and Technology Information
Diwaker  Gupta,"University of California, San Diego"
W. Hasselbring,University of Kiel
Yuan Feng,University of Technology Sydney
András  Kornai,Hungarian Academy of Sciences
T. Obeidi,Georgia State University
Christopher R. Wren,Google LLC
Matthias Rohr,University of Oldenburg
Zhixiong Chen,Putian University
George G. Robertson,Microsoft Research
Georgios Kouroupetroglou,National and Kapodistrian University of Athens
Sotiris M. Giannaropoulos,
Nicolas Durand,Aix-Marseille University
Mehdi Jazayeri,University of Italian Switzerland
David R. Musicant,"Carleton College, USA"
Marcel Karnstedt,University of Galway
Florian Verhein,Ludwig-Maximilians-University Munich
Sasa Nesic,University of Italian Switzerland
Ulrich Bauer,Technical University of Munich
A. J. Wijs,Eindhoven University of Technology
Takayuki Watanabe,Tokyo Woman's Christian University
Donghyuk Shin,The University of Texas at Austin
Koosha Golmohammmadi,University of Alberta
Jorge E. Hernández,Polytechnic University of Valencia
Daniel Vogel,David R. Cheriton School of Computer Science
Andre Maximo,GE Global Research
José R. Herrero,Polytechnic University of Catalonia
M. Snoeck,KU Leuven
Sandra  de Amo,Federal University of Uberlândia
Varun Gupta,Carnegie Mellon University
Funda Durupinar,University of Massachusetts Boston
Thomas Gloe,Technical University of Dresden
Michelle Mills Strout,The University of Arizona
Dorian Gorgan,Technical University of Cluj-Napoca
Vijay Kumar Mago,"D.A.V. College, Kanpur"
Guido Wirtz,University of Bamberg
Lei Wu,Michigan State University
Beat Signer,Vrije Universiteit Brussel
Catherine Putonti,Loyola University Chicago
Christian Müller,Technical University of Darmstadt
Junling Xu,Southeast University
Bruno J.  M. Melo,University of Campinas
Kaj Mäkelä,Nokia Corporation
Kenji Yamada,Xerox Research Centre Europe
Jose Daniel Garcia,Carlos III University of Madrid
F. Castanedo,Carlos III University of Madrid
Malcolm Clark,Robert Gordon University
Corina Sas,Lancaster University
Arkadiusz Kawa,Poznań University of Economics and Business
A. J. O'Toole,The University of Texas at Dallas
Dimitrios Raptis,Aalborg University
Lai Thi Anh Nga,Chonnam National University
J. Huerta,Jaume I University
Yujian Gao,
M. Alex O. Vasilescu,University of Toronto
Jan Boehm,University of Stuttgart
Turgay  Temel,Fatih University
Jahanbakhsh Hamedi,Islamic Azad University
Jill Lynn Drury,MITRE Corporation
Jose Antonio Robles-Flores,W. P. Carey School of Business
F. Afrati,National Technical University of Athens (NTUA)
Susan Craw,Robert Gordon University
Cliff B. Jones,Newcastle University
Fanny Chevalier,University of Toronto
Rhydian Lewis,Cardiff Business School
Georgios Smaragdakis,Delft University of Technology
Xi Shao,Nanjing University of Post and TeleCommunications
Robert L. Cook,Pixar Animation Studios
Syed Imran Jami,Capital University of Science & Technology
Aleksandar Dimitrijevic,University of Niš
Alina E. Lascu,
Shaun Lawson,University of Lincoln
David Benyon,Edinburgh Napier University
Bryan Robbins,Bagley College of Engineering
Luis Aburto,
Rodrigo Mantovaneli Pessoa,University of Twente
Ramon F. Brena,Monterrey Technology
Leonid Libkin,The University of Edinburgh
Rajesh K. Karmani,University of Illinois Urbana-Champaign
Stéphane Piskorski,Paris-Saclay University
José  San Pedro,Telefonica
J. Crampton,"Royal Holloway, University of London"
Cem Yuksel,The University of Utah
A Condon,The University of British Columbia
M. Alpuente,Polytechnic University of Valencia
Stuart C. Shapiro,"University at Buffalo, The State University of New York"
Andrei Gagarin,Cardiff University
Moises Salinas-Rosales,National Polytechnic Institute
Tim  Marsh,Griffith University
Rafael  del Vado-vÍrseda,Complutense University of Madrid
Saad I. Sheikh,University of Florida
Badre Munir,Ghulam Ishaq Khan Institute of Engineering Sciences and Technology
Isabel María del Águila,University of Almeria
Fernando M. Montes González,University of Veracruz
Oukseh Lee,Hanyang University
Wonsang You,Korea Advanced Institute of Science and Technology
T. Medhat,Tanta University
Hiroshi Someya,Tokai University
Kristen R. Walcott-Justice,University of Virginia
David Vanderhaeghe,Computer Science Research Institute of Toulouse
Fernando Tricas,University of Zaragoza
Germán Sánchez-Hernández,ESADE Ramon Llull University
Ángel Monteagudo,University of A Coruña
Anand Ranganathan,IBM Thomas J. Watson Research Center
Martin D May,Technicolor Inc.
Dr. Karsten Stegmann,Ludwig-Maximilians-University Munich
Yi-Chia Wang,Carnegie Mellon University
Jose-Norberto Mazón,University of Alicante
Benoît Pellan,Information Processing and Communication Laboratory
Thomas F. Gordon,Fraunhofer Institute for Open Communication Systems FOKUS
Xavier Leroy,PSL University
Stephanie Weirich,University of Pennsylvania
Arie M. C. A. Koster,RWTH Aachen University
Hans L Bodlaender,Utrecht University
Andrew W. Appel,Princeton University
Alistair D N Edwards,University of York
Hiroshi Inoue,The University of Tokyo
Brian DeRenzi,University of Cape Town
Thanasis Petsas,Institute of Computer Science
Abdelhalim Boutarfa,University of Batna 1
Derek C. Schuurman,Redeemer University College
Tzu-Yi Chen,Pomona College
Hiroshi Inaba,University of Puerto Rico-Mayaguez
Hye Chung (Monica) Kum,The University of North Carolina at Chapel Hill
Jinhua Guo,University of Michigan-Dearborn
Stan Kurkovsky,Central Connecticut State University
Stuart Shulman,University of Massachusetts Amherst
Koen  Yskout,KU Leuven
Rob LeGrand,Washington University in St. Louis
H  van Dyke Parunak,"Soar Technology, Inc."
Martin Lukac,Nazarbayev University
Walter Binder,University of Italian Switzerland
Ioan Raicu,Illinois Institute of Technology
Michel Sebastian,University of Kaiserslautern-Landau
Iman Karimi,RWTH Aachen University
Yunfei Zheng,West Virginia University
M. Zangiabadi,Shahrekord University
Joy Bose,The University of Manchester
Leonghwee  Teo,DSO National Laboratories
Joseph M. Hellerstein,"University of California, Berkeley"
Sara Victoria Pérez Vértiz,
Robert Beverly,Naval Postgraduate School
David Ray McGee,Adapx Inc.
Roberto A. Flores,Christopher Newport University
I. Infantino,"Istituto Di Calcolo E Reti Ad Alte Prestazioni, Rende"
Wim Vanhoof,University of Namur
Xiao-Feng Xie,Hong Kong Baptist University
Stephan Herrmann,Technical University of Berlin
Nirosh Jayaweera,University of Moratuwa
Munir H Naveed,University of Bradford
Matthew H. Tong,Department of Computer Science and Engineering
Xiao-shan Gao,Chinese Academy of Sciences
Andreas  Podelski,University of Freiburg
Nicola Santoro,Carleton University
Suresh B. Mudunuri,Grandhi Varalakshmi Venkata Rao Institute of Technology
Adrian John Friday,"School of Computing and Communications, Lancaster University"
Raphael Wimmer,University of Regensburg
Sebastian Boring,University of Copenhagen
Massimiliano Albanese,George Mason University
Jacquelyn Ford Morie,University of Southern California
Jeff Pierce,IBM Research - Almaden
Naohiro Hayashibara,Kyoto Sangyo University
Maya Gokhale,Lawrence Livermore National Laboratory
Karthikeyan Umapathy,University of North Florida
Gianfranco Murador,University of L'Aquila
Jose Alfredo Sánchez,"National Laboratory of Advanced Informatics, Xalapa"
Steven L Salzberg,Johns Hopkins Bloomberg School of Public Health
Alberto Laurenti,Campus Bio-Medico University of Rome
Vasilios Nikolaidis,The Western Greece University of Applied Sciences (TEI of Western Greece)
David Chisnall,University of Cambridge
Ippokratis Pandis,"Amazon.com, Inc."
Stefan Fischer,University of Lübeck
Aviral Pandey,Indian Institute of Technology (BHU) Varanasi
Gustavo A. Santana Torrellas,Mexican Petroleum Institute
Anthony Dekker,Defence Science and Technology Group
Yukio Ishihara,Yamaguchi University
Julia  Ferraioli,Bryn Mawr College
David M Frohlich,University of Surrey
Marco Dimas Gubitoso,University of São Paulo
A. H. Eden,University of Essex
Eugene Zhang,Oregon State University
Ahmed Bufardi,EPFL
Claudio Silvestri,Ca' Foscari University of Venice
Artur Czumaj,University of Warwick
Omar El-Khatib,New Mexico State University
Peter J Kootsookos,IEEE
Abhinav Saxena,School of Electrical and Computer Engineering
Math H. J. Bollen,Luleå University of Technology
Murat Ali Bayir,Microsoft Corporation
Abdolhossein Sadeghi Marascht,University of Tehran
Babis Theodoulidis,Alliance Manchester Business School
Milene Selbach Silveira,Pontifical Catholic University of Rio Grande do Sul
Fang-Fei Kuo,National Chiao Tung University
Tan Su Tung,Malaysia University of Science and Technology
Yasser Ganjisaffar,"University of California, Irvine"
Mohsen Jamali,The University of British Columbia
Boris Glavic,University of Illinois at Chicago
Sridhar Iyer,Indian Institute of Technology Bombay
Wenliang (Kevin) Du,Syracuse University
Yasaman Zandi Mehran,"Islamic Azad University, Science and Research Branch"
Sunil M. Shende,Rutgers University–New Brunswick
Sylvain Hallé,University of Quebec at Chicoutimi
Cecilia R. Aragon,University of Washington
Motofumi Suzuki,National Institute of Multimedia Education
William G. Griswold,"University of California, San Diego"
Byung-ho  Cha,Samsung Electronics Co. Ltd.
Richard H McClatchey,University of the West of England
Kris Luyten,Hasselt University
F. Mohd-Yasin,Griffith University
Jeremy  Lau,"University of California, Santa Barbara"
Marco Fratarcangeli,Chalmers University of Technology
Byron B Marshall,Oregon State University
Michael Haller,Free University of Bozen-Bolzano
Caroline Larboulette,Rey Juan Carlos University
Stanislav V. Klimenko,Moscow Institute of Physics and Technology
Marco A. Jonack,
Nikolay N Mirenkov,The University of Aizu
Fernando M. Montes González,University of Veracruz
Vijay S Kumar,The Ohio State University
Bernhard Schandl,University of Vienna
J. C. Cubero,University of Granada
Adam J Lee,University of Pittsburgh
C. Ababei,Marquette University
Matteo  Sonza-Reorda,Polytechnic of Turin
Davood Motavalizade Naiini,
Huang-Chen Lee,National Tsing Hua University
Conor Brady,Simon Fraser University
Jen-Yao Chung,IBM Thomas J. Watson Research Center
Lynette  van Zijl,Stellenbosch University
Manish Gupta,IBM India Pvt Ltd
PaweB Parys,University of Warsaw
Mohammad R. Salavatipour,University of Alberta
Julio Cesar Sampaio Do Prado Leite,Federal University of Bahia
Katherine G. Herbert,Montclair State University
Geir Horn,University of Oslo
Li Xu,Shanghai Jiao Tong University
Naoki Shibata,The University of Tokyo
Michael Macedonia,Georgia Tech Research Institute
Vijaya Ramachandran,The University of Texas at Austin
Lars Eirik Danielsen,University of Bergen
Alpay  Özcan,Virginia Polytechnic Institute and State University
Yong Pei,Wright State University
Martin Monperrus,KTH Royal Institute of Technology
Adrian James Chung,Imperial College London
Lawrence A. Rowe,"University of California, Berkeley"
David A. Rojas V.,National University of San Marcos
Shahbaz Pervez Chattha,University of Engineering and Technology Taxila
Mandar Mitra,"Indian Statistical Institute, Kolkata"
Daniela Grigori,Paris Dauphine University
Emmett Witchel,The University of Texas at Austin
Cyril Briquet,University of Liège
Scott A. Hale,University of Oxford
Raymond Wan,Kyoto University
Gerth Stølting Brodal,Aarhus University
W. Kienreich,"Know-Center, Graz"
Manuel  Contero,Polytechnic University of Valencia
Hyun Seok Oh,Ajou University
Tamara Munzner,The University of British Columbia
M. T. Maybury,United States Department of Defense
Nimrod Megiddo,IBM Research - Almaden
Richard M Weatherly,MITRE Corporation
Chuanyi Ji,School of Electrical and Computer Engineering
Victor S Frost,University of Kansas
Orazio Tomarchio,University of Catania
Dustin Hillard,Microsoft Corporation
Injong  Rhee,Samsung Group
Erol  Gelenbe,Polish Academy of Sciences
Tristan Miller,German Research Center for Artificial Intelligence (DFKI)
William  Thies,Microsoft Research India
Mina Razaghpour,Sharif University of Technology
Sumit Jain,Georgia Institute of Technology
Zhaohui S. Qin,"University of Michigan, Ann Arbor"
Dae-Kyoo Kim,Oakland University
Salvatore Andolina,University of Palermo
Frank J. Manion,University of Michigan Rogel Cancer Center
Domenico Saccà,University of Calabria
Andrew Begel,Carnegie Mellon University
B. M. E. Moret,EPFL
Gunther Schmidt,Bundeswehr University Munich
Cristiana Bolchini,Politecnico di Milano
R. Ravi,Tepper School of Business
S L. Graham,"University of California, Berkeley"
Peter Schröder,California Institute of Technology
Yuichi Itoh,Aoyama Gakuin University
Kentaro Toyama,"University of Michigan, Ann Arbor"
Tomer Moscovich,University of Toronto
Jason L. Mitchell,
Kinya Fujita,Tokyo University of Agriculture and Technology
Sharif  Elcott,"Google LLC, Asia Pacific"
Tim D McLaughlin,Texas A&M University
Copper Frances Giloth,University of Massachusetts Amherst
Shiro Ozawa,Nippon Telegraph and Telephone Corporation
John DeWeese,
Jan  Klein,Fraunhofer Institute for Medical Image Computing MEVIS
Chris Green,
Francisco Seron,University of Zaragoza
Hussein Hamdi Al-Fiadh,University of Baghdad
J. Lindenberg,Netherlands Organisation for Applied Scientific Research - TNO
H Chad Lane,University of Southern California
J. Anvik,University of Lethbridge
Juan C. Pichel,University of Santiago de Compostela
Nikolaos G. Bardis,Hellenic Army Academy
M  Dutta,Tezpur University
P J. Dutta,Tezpur University
R. Bar-Yehuda,Technion - Israel Institute of Technology
Christoph Bussler,Cisco Systems
Xudong He,Florida International University
Newton Lee,The Walt Disney Company
Magnús M. Halldórsson,Reykjavík University
Gajendra Pal S Raghava,CSIR-Institute of Microbial Technology
Chad Williams,Central Connecticut State University
Radu Marinescu,Politehnica University Timisoara
Tudor  Gırba,University of Bern
Henry Feild,Endicott College
Kellogg Speed Booth,The University of British Columbia
David W. Chadwick,University of Kent
Daniel J Weitzner,Massachusetts Institute of Technology
G. S. Virk,University of Gavle
Dirk Beyer,Ludwig-Maximilians-University Munich
Alexander Romanovsky,Newcastle University
Michal Laclavík,Slovak Academy of Sciences
Mahmoud Youssef Mohamed,Rutgers University-Newark
Soonae  Ae Chun,College of Staten Island
Olivier  Lartillot,University of Oslo
Christos Papatheodorou,National and Kapodistrian University of Athens
Taneli Mielikäinen,Nokia USA
Dr. Aamer Nadeem,Capital University of Science & Technology
Gruia-Catalin Roman,Washington University in St. Louis
Insu Song,The University of Queensland
Dr. Wai-Ho Au,IEEE
J Dongarra,"The University of Tennessee, Knoxville"
Raj Reddy,Carnegie Mellon University
Augustin Soule,Google LLC
Mojtaba Sabeghi,Delft University of Technology
