Author Name,University
Mateusz  Dubiel,University of Luxembourg
Roisin  Faherty,Technological University Dublin
Rafael  Wampfler,"Swiss Federal Institute of Technology, Zurich"
Narges  Norouzi,"University of California, Berkeley"
Emily Esther Nielsen,Swansea University
Meng  Wang,The University of Chicago
Mo  Sha,FIU College of Engineering and Computing
Günter Wallner,Johannes Kepler University Linz
Mark J. Nelson,The Computer Science Department
Simone  Martini,University of Bologna
Andrew Luxton-Reilly,The University of Auckland
Paul  Denny,The University of Auckland
Mounir Zrigui,University of Monastir
Michael  Liut,University of Toronto
Joyce  Mahon,University College Dublin
Weidong Huang,University of Technology Sydney
George Kuriakose Thiruvathukal,Loyola University Chicago
Abigail J. Sellen,Microsoft Research
Eric J. Horvitz,Microsoft Corporation
Moshe Y Vardi,Rice University
Patanamon Thongtanunam,University of Melbourne
Esteban Parra,Belmont University
James C Davis,Purdue University
Ulf Schlichtmann,Technical University of Munich
Walid G. Aref,Purdue University
Gennady Andrienko,Fraunhofer Institute for Secure Information Technology SIT
Dimitris Sacharidis,Université Libre de Bruxelles
Atefeh  Mashatan,Toronto Metropolitan University
Mohamed F. Mokbel,University of Minnesota Twin Cities
Salil Subhash Kanhere,UNSW Sydney
Moustafa Youssef,The American University in Cairo
Bettina Speckmann,Eindhoven University of Technology
Gao Cong,School of Computer Science and Engineering
Mário A. Nascimento,Khoury College of Computer Sciences
Yannis Theodoridis,University of Piraeus
Antti Salovaara,Aalto University
C. Shahabi,University of Southern California
Panos K. Chrysanthis,University of Pittsburgh
Konrad Rieck,Technical University of Berlin
Tero Jokela,Nokia Bell Labs
Daniel Mueller-Gritschneder,Vienna University of Technology
Amr Magdy,"University of California, Riverside"
Mohammed M. Alani,Toronto Metropolitan University
Yingjie Hu,"University at Buffalo, The State University of New York"
Daniel Buschek,Ludwig-Maximilians-University Munich
Lirong  Xiong,Emory University
Ville Mäkelä,University of Waterloo
Yang  Cao,Kyoto University
Peter Kun,IT University of Copenhagen
Hubert Dariusz Zając,University of Copenhagen
Adrian  Herrera,The Australian National University
Fahim Tasneema Azad,Arizona State University
Mohamadreza (Mohammad) Khosravi,Weifang University of Science and Technology
Vincenzo Deufemia,University of Salerno
Enrico Masala,Polytechnic of Turin
Hamed Haddadi,Imperial College London
Peter  Počta,University of Zilina
Stylianos I. Venieris,Samsung AI Center - Cambridge
Giovanni Semeraro,University of Bari Aldo Moro
Cristina  Gena,University of Turin
